Row,B3_DATUM_B_LOC,B3_REF_OD,C1_LOC_INSIDE_PLN,C4_LOC_TOP_PLN,B3_THICK1_WALL,B3_THICK2_WALL,B3_THICK3_WALL,B3_THICK4_WALL,Layout,BuildDate,Powder,MeasureSeq,Nonconformity,RowID,ColID,PlateID
La1,0.4171,0.4476,0.0539,0.2659,0.0158,0.016,0.0149,0.0164,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,1,1,L
La2,0.4164,0.4478,0.0534,0.2662,0.0168,0.0167,0.0152,0.0141,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,1,2,L
La3,0.4173,0.4479,0.0541,0.2668,0.0151,0.0163,0.0155,0.0151,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,1,3,L
La4,0.4172,0.4485,0.0531,0.2663,0.0155,0.0157,0.0183,0.0147,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,1,4,L
La5,0.4175,0.4487,0.0541,0.2663,0.0153,0.0153,0.0156,0.0153,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,1,5,L
La6,0.4178,0.4488,0.0534,0.2661,0.0155,0.0166,0.0164,0.0155,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,1,6,L
La7,0.4176,0.4497,0.0536,0.266,0.016,0.017,0.0157,0.0154,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,1,7,L
La8,0.4166,0.448,0.0529,0.2653,0.0148,0.0159,0.0164,0.0155,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,1,8,L
La9,0.4172,0.4486,0.0526,0.2646,0.0165,0.0159,0.0159,0.0156,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,1,9,L
La10,0.4163,0.4483,0.0519,0.2646,0.0152,0.0154,0.0152,0.0151,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,1,10,L
La11,0.4161,0.448,0.0508,0.264,0.0157,0.0158,0.0148,0.0153,11X11TA,8/22/2019,Recycled,PreEDM,FALSE,1,11,L
