Virgin_2019_07_25,Virgin_2019_07_25,6X6_BP-A_2019_08_05,6X6_BP-A_2019_08_05,6X6_W/ART_BP-B_2019_08_06,6X6_W/ART_BP-B_2019_08_06,11x11_W/ART_BP-C_2019_08_07,11x11_W/ART_BP-C_2019_08_07,11x11_W/ART_BP-D_2019_08_08,11x11_W/ART_BP-D_2019_08_08,6x6_BP-E_2019_08_09,6x6_BP-E_2019_08_09,6x6_W/ART_BP-F_2019_08_12,6x6_W/ART_BP-F_2019_08_12,Virgin_2019_07_25 (2),Virgin_2019_07_25 (2),Virgin_2019_07_25 (3),Virgin_2019_07_25 (3)
Size Classes (?m),Volume Density (%),Size Classes (?m),Volume Density (%),Size Classes (?m),Volume Density (%),Size Classes (?m),Volume Density (%),Size Classes (?m),Volume Density (%),Size Classes (?m),Volume Density (%),Size Classes (?m),Volume Density (%),Size Classes (?m),Volume Density (%),Size Classes (?m),Volume Density (%)
0.010659095,0,0.010659095,0,0.010659095,0,0.010659095,0,0.010659095,0,0.010659095,0,0.010659095,0,0.010659095,0,0.010659095,0
0.012110471,0,0.012110471,0,0.012110471,0,0.012110471,0,0.012110471,0,0.012110471,0,0.012110471,0,0.012110471,0,0.012110471,0
0.01375947,0,0.01375947,0,0.01375947,0,0.01375947,0,0.01375947,0,0.01375947,0,0.01375947,0,0.01375947,0,0.01375947,0
0.015633002,0,0.015633002,0,0.015633002,0,0.015633002,0,0.015633002,0,0.015633002,0,0.015633002,0,0.015633002,0,0.015633002,0
0.01776164,0,0.01776164,0,0.01776164,0,0.01776164,0,0.01776164,0,0.01776164,0,0.01776164,0,0.01776164,0,0.01776164,0
0.02018012,0,0.02018012,0,0.02018012,0,0.02018012,0,0.02018012,0,0.02018012,0,0.02018012,0,0.02018012,0,0.02018012,0
0.022927908,0,0.022927908,0,0.022927908,0,0.022927908,0,0.022927908,0,0.022927908,0,0.022927908,0,0.022927908,0,0.022927908,0
0.026049843,0,0.026049843,0,0.026049843,0,0.026049843,0,0.026049843,0,0.026049843,0,0.026049843,0,0.026049843,0,0.026049843,0
0.02959687,0,0.02959687,0,0.02959687,0,0.02959687,0,0.02959687,0,0.02959687,0,0.02959687,0,0.02959687,0,0.02959687,0
0.033626871,0,0.033626871,0,0.033626871,0,0.033626871,0,0.033626871,0,0.033626871,0,0.033626871,0,0.033626871,0,0.033626871,0
0.038205611,0,0.038205611,0,0.038205611,0,0.038205611,0,0.038205611,0,0.038205611,0,0.038205611,0,0.038205611,0,0.038205611,0
0.043407805,0,0.043407805,0,0.043407805,0,0.043407805,0,0.043407805,0,0.043407805,0,0.043407805,0,0.043407805,0,0.043407805,0
0.049318346,0,0.049318346,0,0.049318346,0,0.049318346,0,0.049318346,0,0.049318346,0,0.049318346,0,0.049318346,0,0.049318346,0
0.056033685,0,0.056033685,0,0.056033685,0,0.056033685,0,0.056033685,0,0.056033685,0,0.056033685,0,0.056033685,0,0.056033685,0
0.063663406,0,0.063663406,0,0.063663406,0,0.063663406,0,0.063663406,0,0.063663406,0,0.063663406,0,0.063663406,0,0.063663406,0
0.072332012,0,0.072332012,0,0.072332012,0,0.072332012,0,0.072332012,0,0.072332012,0,0.072332012,0,0.072332012,0,0.072332012,0
0.082180963,0,0.082180963,0,0.082180963,0,0.082180963,0,0.082180963,0,0.082180963,0,0.082180963,0,0.082180963,0,0.082180963,0
0.093370978,0,0.093370978,0,0.093370978,0,0.093370978,0,0.093370978,0,0.093370978,0,0.093370978,0,0.093370978,0,0.093370978,0
0.10608466,0,0.10608466,0,0.10608466,0,0.10608466,0,0.10608466,0,0.10608466,0,0.10608466,0,0.10608466,0,0.10608466,0
0.120529476,0,0.120529476,0,0.120529476,0,0.120529476,0,0.120529476,0,0.120529476,0,0.120529476,0,0.120529476,0,0.120529476,0
0.136941143,0,0.136941143,0,0.136941143,0,0.136941143,0,0.136941143,0,0.136941143,0,0.136941143,0,0.136941143,0,0.136941143,0
0.155587474,0,0.155587474,0,0.155587474,0,0.155587474,0,0.155587474,0,0.155587474,0,0.155587474,0,0.155587474,0,0.155587474,0
0.176772747,0,0.176772747,0,0.176772747,0,0.176772747,0,0.176772747,0,0.176772747,0,0.176772747,0,0.176772747,0,0.176772747,0
0.200842672,0,0.200842672,0,0.200842672,0,0.200842672,0,0.200842672,0,0.200842672,0,0.200842672,0,0.200842672,0,0.200842672,0
0.228190033,0,0.228190033,0,0.228190033,0,0.228190033,0,0.228190033,0,0.228190033,0,0.228190033,0,0.228190033,0,0.228190033,0
0.259261095,0,0.259261095,0,0.259261095,0,0.259261095,0,0.259261095,0,0.259261095,0,0.259261095,0,0.259261095,0,0.259261095,0
0.29456289,0,0.29456289,0,0.29456289,0,0.29456289,0,0.29456289,0,0.29456289,0,0.29456289,0,0.29456289,0,0.29456289,0
0.334671486,0,0.334671486,0,0.334671486,0,0.334671486,0,0.334671486,0,0.334671486,0,0.334671486,0,0.334671486,0,0.334671486,0
0.380241393,0,0.380241393,0,0.380241393,0,0.380241393,0,0.380241393,0,0.380241393,0,0.380241393,0,0.380241393,0,0.380241393,0
0.43201624,0,0.43201624,0,0.43201624,0,0.43201624,0,0.43201624,0,0.43201624,0,0.43201624,0,0.43201624,0,0.43201624,0
0.490840911,0,0.490840911,0,0.490840911,0,0.490840911,0,0.490840911,0,0.490840911,0,0.490840911,0,0.490840911,0,0.490840911,0
0.557675331,0,0.557675331,0,0.557675331,0,0.557675331,0,0.557675331,0,0.557675331,0,0.557675331,0,0.557675331,0,0.557675331,0
